بسم الله الرحمن الرحیم	لـلٔريلقيلم
(ودخل بحض العلماء قرية من قرى المجر بنواحي الجبل) فرأى محلًا يشبه المسجد	اودخل بعضن العلما، قوية من قرك الحر بواحي الجبلا فاك حها يشبه لجد
22،4	214
وفيه البقر والغنم وقد اشتد به الجوع فجلس يقرأ في سورة الكهف فاجتمع عليه	وفهالقر ولفم وقد اشتذ به الجع جس يقا ف سوة الكمف فاجمع عله
جماعة من تلك القرية يسمعوا قراءته إلى أن وصل إلى قوله تعالى "سيقولون ثلاثة	جماهة من تلك القرية معوا قوامته إلى أن وصل الى قوله تقالى ه سيقولون ببية
مرا بعهم كلبهم" فقالوا له يا شيخ نجست القرآن كلام الله ما فيه كلاب وانت تجعل	زامن كلبهمنه نقالواله ا ميح بجست القأن كادم الفلهمايه كاب وانت يجمل
فيه كلاب اخرج من بلدنا والا قتلناك قال فقام رجل منهم وقال لا تضربوه ولا	فيه كلاب اخرج من بادا والا تقلاد قال فقام رجعل منهم وةال لا تضربو ولا
له أعطيك ما تطلب فقال له خد امراتك وقت السحر وروح بها بركة الماء الي في	له أعطياك ما تطب فقال له غد امرلاك وقت احر وروح بها بكهة الماء الي في
تقتلوه حتى نرسل لفقي بلدنا الحاج مخالف الله ونسأله فإن قال لنا إن القرأن فيه	تقتلوه ح تريل لفق بلدنا اللحاج حفالف اله ونأله فٕن قال لنا ٕان القران فيه
كلاب تركناه والا قتلناه قال فأرسلوا خلف هذا الرجل فحضرشخص كأنه سارية	كلاب تزكاه والا قلاه قال فأرسلوا ضف هذا الرجل خضرتخص كأنه سارية
الجبل من طوله أو عمود الصواري من غلظه وثقل ذاته ورؤيته تقشعر منها الجلود	الجبل من طوله أوعمود الصواري من غلظه وتقل ذاته ورويته تقشعز منها الجلود
وهو ملفع بحرام أبيض دنس لا غير فلما حضر وجلس أخبروه بالقضية فنظر يميناً	وهوملمنع جام اليض دن لا غير فاما حضر وجطس أبروه باقضينة فظر ينا
وشمالاً وقال لهم اصبروا حتى أبين لكم الأمر وأكشف لكم الحال ثم إنه انضجع على	وثٔالا وال لهم اصبرواحقى الين لكم لأمر أكشثف الكم لحال ثم انه انضجع على
قفاه وقال لهم اطرحوا على الحرام فطر حوه عليه فسكت ساعة على هذه الحالة لا	قاه وقال لهم اطرحوا عو الحرام فطحو عيه فسكت ساعة على هذه لطالة لا
يتحرك ثم إنه قام سرعة عريان مكشوف الرأس والعورة ووقف ساعة بهذه الحالة	يغرك ثم إنه قام بسرعة عبان مكشوف الراس والعورة ووقف ساعة بهذه الحالة
64	56
المحل الفلاني وخليها تشلح ثيابها وتخوض في البركه حتى يبلغ الماء سرتها ولا تخليها	الل الفادني وظايها تح يابها وضوض ف الوكه حى بلغ لا. سرتها ولا تظيها
تضم رجليها حتى يدخل الماء فرجها وينكحها فإن الماء ملك والملك ذكر وصدق عليه	تضم رجليهاح يدضل الماء فجها ويحها فإن الماء ملك ولك ذكر وصدق عليه
أنه نكحها قال الله تعالى وخلق من الماء بشراً سويًا قال فلما سمعت ما قاله لهذا الرجل	أةه نكي قال الله تعالى وخاق من الماء بشرً سواً قال فلما سمعت ما قاله لهذ الجل
أخذتني الغيرة في دين الله تعالى وقمت عليه بالسب واللعن وقلت له قاتل الله الأبعد	أخذتي الغيرة فی دن الله فالى وقت عليه بالسب والعن وقت له قأل الفهالأعد
وعلمه وقريته ونهيت السائل عن هذه الفعلة وقلت له وقع عليك الطلاق الثلاث	وعامه وقريته ونهيت السايل عن هذه الفعلة وقلت لمه وقع عليك الطلاق الثلاث
ولا يجوز لك أن تفعل بما قال لك هذا الجاهل الخبيث وحلفت أني لا أقعد في هذه	ولا يجوز لك أن تفعل ما قال لك هذا لجاهل الحيث وحلفت أي لا أقعد ف هذه
القرية ولا أبات فيها لأ جل هذا اللئيم ثم مضيت إلى قرية أخرى ونمت بمسجدها إلى	القوية ولا أمت فيها لأجل هذا اليم ثم مصضيت الى قرية أخوق وفمت كجدهالى
المجـلد الأول	الىلر الأق-
ينظر نحوالسماء وهو في وجد وكرب ثم ادعى بحرامه فالتف فيه وجلس وقال لهم	ينظرحوااء وو ف وجد واب م ادى بكامه فالتن فيه وجلس وقال لهم
في هذا انظر لك في باب الديات والقتل	ف هدذا انظر لك في باب الدات والقتل
(وكان بعض فقهاء الريف يدرس في قرية من بعض قرى الريف) وكلما سئل عن	اوكان بعض فقها، الي يدز في قية من بمض قك الريف وكلما سثل عن
24،4	78
مسألة أجاب عنها بسرعة نظماً ونثاً ولم يتوقف في الجواب لشدة جراءته في الكلام	مسألة أجاب نها بسرعهة نظلما ونرا وم يتوقف ف اجواب لشذة جحراءته ي الكالام
من غير معرفة إلى أن حضر درسه جماعة من العلماء ورأوا سرعة جوابه في المسائل	من فير معرفة إلى أن حضردرسه جماعة من العلما، ورأوا سرعة جحوابه في المساقل
وإتيانه بكلام ليس هو في كتب الفقه إلا أن فيه رائحة المناسبة فقالوا أمرهذا	وايانه بكام ليس هو في كتب القه ٕلا أن فه رانحة المناسبة فقالا أر هذا
لدرس عجيب فقال رجل منهم أنا أختبره لکم وأبين لكم صدقه من کذبه کل شخص	لمدر بهيب نقال رجل منهم ال أخبره لكم وأين كم صدقه من كذبه كل ضص
منكم يأخذ له حرفاً من حروف الهجاء ونجعلها كلمة واحدة ونسأله عنها فقالوا هذا	منكم ئخذ له حرةً من حروف الجاء ويجعلها كمة واحدة ونسأله عنها فقالوا هذا
صواب فأخذوا الأحرف وجمعوها فصارت خنفشارثم إنهم جلسوا حوله وقت	صواب فأخذوا الأحرف وجمعوها فصارت حخنفشارم إنهم جعلسوا حوله وقت
الدرس فلما فرغ يدرس ويدردش فالوا له يا مولانا رأينا في بعض الكنب يقول خذ	الدرس فم فغ يدتت ويدردت فالواله يا مولاا رلبا في بععن الكتب يقول خذ
طلعت العشر سماوات الي خلقها الله فرايت أول سما فيها بقر وتاني سما فيها جاموس	طلعت العشرماوات اليى خاقها اله فزايت افٔل مما فيهابقر وةاي مما فها جامو
الخنفشار وما عرفنا ما يكون فقال لهم هذا واضح وهو نبات يطلع في أرض اليمن	المخفشار وا عرفا ما يكون فقال لهم هذا واكح وهو نبات يطلع في ارض المن
يعقد به اللبن قال الشاعر [وافر]	يعقد به البن قال الشاعر اوافا
لقـد عقدت محبتكم بقلبي كما عقد الحليب الخنفشامه	المذ عقكدن محكثكم بمكلي كا عقتد الخليب الحنفشامن
وقال صلي الله عليه وسلم وأراد أن يذكر حديثاً باطلاً فقالوا له أمسك ما معك قج	وقال صل اله عيه بسم أادأن يدكرحديً باطل فقالواله أمسك ما معاك قح
الله الأبعد أما كلامك في حق الحكماء والعلماء فقد سلمنا لك في الكذب عليهم	لله الأبعد أماًكلاملك في ق الحكما. والعلهاء فقد سلما لك ف الكذب عليهم
وأما الحديث فلا نسلم لك فيه ثم إنهم قاموا عليه وأبطلوه من الدرس	ؤنا الديث فلا نم لك فيه ثم إنهم قاموا عليه ؤبطلوه من الدرر
65	15
وتالت سما فیها عجول و رابع سما فیها تيران وخامس سماکذا وسادس سما کذا وصار	وتالت سما فيها جول ورابع ما فيها يران وخامس ماكا وسادس ما كذا وصار
يعد أصناف حيوانات إلى أن قال وشفت عاشرسما مليانه غنم وانتم تعرفوا ان الغنم	يعد أصناف حجوات إلى أن قال وشفت عاشثرحا ملياه غم وانم تورفوا ان الفن
تعوز الكلاب ولا تفارقها وراعى الغنم لا بد له من ككب يحرس غنمه خلوا الراجل	تعوز الكلاب ولا تفارقها وراى الغنم لا بذ لمه من كب يمحرس غفه خلوا الاجمل
يروح ولا تقتلوه واعطوه رغيفين دره ياكلهم قال فأخذ الرغيفين ومضى وهو يحهد	شروجح ولا تقتلو واعطوه رفيفين دره يكهم قال فأخذ الرغيفين ومضى وهو يمد
الله الذي خلصه من هؤلاء الجهلة	الله الذي خلصه من هولاء الجهلة
(وجاء رجل إلى فقيه بلدة) يسأله عن رجل أخذ له ديكًا وذبحه ماذا يلزمه فقال	اوجا ء رجل إلى فقيه بلدة ا يساله عن رجل أخذ له ديكً وذبحه ماذا يلزمه فقال
23،4	22،
المجـلد الأول	الىان الاو
فهم خراء أولاد خراء فكان مسحه بالجلاية والكرساية فيه مناسبة بهذا الاعتبار فلا	فهم خاء أولاد خا فكان مصه بالجلاية والكرساية فه مناسبة بهذا الاعتبار فلا
الذي هو فيه وزيادة على ذلك بکاؤه وسیلان دموعه وامتزاجها بمخاطه كما تقدم وقد	الذي هوفيه وزيادة على ذاك بكاؤه وسيلان دموعه وامتراجها يجاطهكا تقدم وقد
أبطأ عليه الغداء فاضطر اضطراراً شديداً وساخت عليه نفسه لأنهم يقولوا الجوع	أبطاً عليه الغداء فاضطز اضطرارا شديدً وساخت عليه فسه لأنهم يقولوالجوع
كافر (وسمعت) بعض الفقهاء يقول لما خلق الله النفس سلط عليها أنواع البلايا وقال	كافر اومعتا بعض الفقهاء يقول لما خلق الله الفس سلط عيها انواع ابلايا وةال
لها من أنا فقالت أنت أنت وأنا انا فسلط عليها الجوع وقال لها من أنا فقالت أنت الله	لها من أا فقالت أنت أنت وانأا فسلط عيها الجوع وال لها من أا فقات انت الله
الذي لا إله إلا أنت فكان الجوع على النفس أصعب عليها من غيره ولهذا إن الشخص	اذي لإلهالأنت فكان الجموع على الفس اصمب عيها من غيره ولهذإن التضص
إذا صبر عليه يصح جسمه وينشط للعبادة كما ورد في الحديث الشريف جوعوا تصحوا	اذاصبر عليه يوم ه وينشط لعبادةما و ردف الحديث الشريف جوعوا صهوا
وإذا أكثر من المآكل والمشارب زيادة عن العادة حال عن العبادة قال بعضهم تأكل	واذا أكر من الاك والشارب زيادة عن العادة حال عن العبادة قال بعضهم تأكل
كثيرًا فتنام كثيرًا يفوتك خيركثير وقال الشاعر (طويل)	كيرً فتنام كيرا يفوك غير كثير وقال الشاعر الطويلا
إذا شئت أن تحي صحيحاً منعمًا فكل من طعامٍ نشتهيه قليلاً	بلابنتان غحى محيم معتما نكل من طمـاي نشثهيـه قليـاً
كما قال بقراط الحكيم وغيره إذا قل أكل المرء عـاش طويلاً	كن تال بقاظط الحكيم وفية اذا قل ال لنرو عاسن ويلا
يؤثرعنده المسح بذلك كما هو عادة أرباب التايات وأحوال الفلاحين كما تقدم فاتضح	يولرعنده لع بذلدك هوعادة أاب الايات ؤحوال الفلاحين ك تعذم فاتض
فلما اشتد بهذا الفلاح هذا الأمر أخبر عن نفسه وقال في مناجاته لربه	فاما اشتد بهذا الفلاح هذالأمرأخبرعن نفسه وقال في ماجاته لبه
9،7،5	ب481
(وشلت وجهي لربي قلت مولاية) أي لما طال علي الزمن في حالة بكائي وفي مسحي	اوبلت وجهي لبي قلث مولايم أي لما طال علي اليمن ف حالة بكاي وفي حي
10،7،5	) ي "1
الدموع وأشرفت نفسي على الهلاك من ألم الجوع وغيره كما تقدم شلت وجهي أي	الدموع واشفت في على الهاك منالم لجوع ويو كم تقذم شت وجهي أي
106	15
الجواب من وجوه شتى انتهی	المجواب من وجوه شى أتهى
ثم إنه لما مسح دمعه وصحي لنفسه وتيقن أن محبوبه يطول رجوعه إليه ورأى نفسه	شم إنهلما مح دمه وصمي لفسه ويقن ان حجبوبه يطول رجوعه إيه ورأك نفسه
8،7،5	4،1/.5
جيعان ولم ير أحدًا يرسله إلى داره يأتيه بشيء يأكله من الخبز الشعير والجبن القريـش	جيعان ولم ر آخحدايرسله الى دار ئيه بشي، ئكله من الخبز الشعير والجبن أين
والبصل ونحوذلك كما هوعادة الفلاحين في أفخر مأكولهم لم يكن له صبر لأن الجوع	والصل وفوذلكم هوادة الفلاحين ف أر ماكولهم لميكن له صبر لأن الجموع
بضر بالإنسان خصوصاً مثل هذا الفلاح لا سيما إذاكان في حالة حفر بير أو قناة	ضرز بالانان خصوصاً مثل هذا الفلاح لا سيمإذا كان في حالة حفر بير أو قناة
أو شيل وحل وتراكمت عليه الدواهي من عقب الحفر أو شيل الطين أو العشق	أو شيل وحل وزٕلت عيه الدواهي من عقب الفر أو شيل الطين أوالمشق
المجـلد الأول	الىلن الاو
رفعته وهذه لغة ريفية وردت في القاموس الأزرق والناموس الأبلق كما يقال عندهم	رفعته وهذه لغة رفية وردت في القاموس الازرق والاموس الأبلقكم يقال عندهم
(جاب لي رغيف وعجوره وقتايه) أي سخر لي إنساناً أعطاني مجموع هؤلاء الثلاثة	اجابن لى رغيف وجوره وقايه أي خر لي انسا أعطاي جموع هولا . اللاثة
13،7،5	295ا
وأكلت وسددت مجاعتي وحصل لي غاية المقصود لأن الله تعالى مع المنكسرة	واكمت وسدت مجاعق وحصل لى غاية المقصود لان الفه تقالى مع النكرة
قلوبهم	قاوبهم
(فإن قيل) إن استجابة الدعاء لها شروط أن يأكل حلالاً ويشرب ويلبس كذلك	افان قيل الٕن اسبابة الدعا. لها شروط ان يأكل حلالً ويشرب ويلبس كاك
14،7،5	10(1/5
وهذا الفلاح في وقت دعائه كان متضمخا بالنجاسة وهي مسح وجهه بالكرساية والجلايه	وهذا الفلاح في وقت دعابه كان يتابالباسة وي م وجه بالكرساية ولجلزية
ووقوفه أيضاً ينتظر هذا المحبوب لأجل ما يقدحه جنب المدود أو الجرن وأيضاً	وقوفه ايضاً ينظر هذا لحجبوب لأجل ما يقدحه جنب المدود أو الجن وأيضاً
مو لا يعرف الحلال من الحرام ومع هذا عجل الله له ما ذكر وهو الرغيف وما معه	هو لا يعوف الحلال من الحرام ومع هذا جل الله ه ما كر وهوالرغيف وما معه
(قلنا) إنما عجل الله له هذا من باب الاستدراج أو من باب ما ورد أن الرجل	ابقلنا إلما جل الله له هذا من باب الاستدراج أومن باب ما ورد أن الرجل
فلان شال وجهه أي رفعه وقعوله	فلان شال وجه أي رفعه وقوه
الخبيث إذا دعا يسرع الله له بالإجابة بخلاف الرجل الصالح فإن الله تعالى يحب	الحخيث إذا دعا يسرع لله له الإجابة بحلاف الجل الصاح فان الله قالى حب
تكرار دعائه إليه وفي قوله تعالى في حق موسى وهارون عليهما الصلاة والسلام	عكرار دعانه إيه وف قوله تعالى في ق موى وهارون عليهما الصلاة والسلام
"قد أجیبت دعوتکما" أي بعد أربعين عاماً	ه فذ أجحيبت دغوتكابه أي بعد أربمين عامً
(مسألة هبالية) ما الحكمة في ذكره في الأبيات الكرس والجلة والرغيف والعجورة والقتاية	امسأة هبالية مالحكة في كه في الأيات الكرس ولجلة والرغيف ولجوره والقتاية
15،7،5	14 /0(
وهذا لا يناسب هذا ولا يجتمع معه فإن الشخص لا يمكنه أن يأكل القتا والعجورة	وهذا ا ياسب هذا ولا جقع ممه فٕن الشنض ا يكه أن ئكل الفا والجورة
بالجلة والكرس نغم يمكن بالخبز وغيره مما يناسب فما فائدة ذکره مع أن فيها أنواع	بالجمة والك فم مك بالحبز وف، ما ياسب فا اندة كوه معان فها اناع
107	4
(لربي) أي لخالقي ومربيني ثم دعوت	اليأي لحايق ومربي ثم دعوت
11،7،5	.5
و(قلت مولايه) أي يا مولاي وحذفت ياء النداء لضرورة النظم وألحق الهاء في	وافلث مولاية أي يا مولا ي وحذفت ي، الدا، لضرورة الظم والق الها في
12،7،5	1285
مولايه لأجل الروي ثم كان من ضمن دعائه أن قال أطلب منك يا ربي ومولاي أن	مولايه لا جل الزوي م كان من ضن دعائه أن قال أطلب منك بياري ومولا ي أن
تيسر لي ما آكله والتهي به عن الا ستنظار لهذا المحبوب الذي أذهل عقلي وأجاع	يتر لى ما آكه والتهي به عن الا ستظار لهذا لبوب الذي اذهال عقلي وأجاع
نفسي وأسال مخاطي ودمعي فعند ذلك استجاب الله دعاءه كما أشار له بقوله	نفي وأسال حاطي ودي فعند ذلك السجاب الله دعاءه كم أشار له بقوله
المجلد الأول	الىلن الاو
(رقاص طاحوننا يشبه لخلخالك) أي إن رنة هذا الخلخال وسماع حسه يشبه رنة	افاص طاحوز يشبه لحالن أي إن رة مذا لخال وماع حنه يشبه رنة
إذا مشيتي فعلى هذا التقدير أنها كانت تلبس حجلًا كاملاً لأجل ظهور الصوت	إذا مشيتي فلى هذا التقدير انهاكانت تلبس جا كاماً لأبجل ظهور الصوت
فإن قيل إن رقاص الطاحون له حس مرعب عند دو ران الحجر وله فرقعة عظيمة	فٕن يل ان رةاص الطاحون له ح مزعب عند دوران اجر وله زقعة عيمة
3،8،5	4 8ا
منفرة للقلوب عند سماعها ولهذا يفعله الطاحون لأجل معرفة الناس أن هذا محل	منفرة لقلوب عند مماعها ولهذا يفعله الطاحون لا ٔجل معرفة الناس أن هذا حل
الطحن فيأتوا إليه للطحن أو لأجل دوران الثور والفرس فإنه ما دام يسمعه يدور	انطىن يأتوا اليه اللن أو لأجل دوران الور والفرس فانة ما دام شمعه يدور
فإذا رفعوه وانقطع حسه عند فراغ القمح من القادوس وقف فهو معد لأجل نشاطة	إذا رفعوه واتقطع حنه عند فاع القع من القاد و وقف فهومعذ لأجمل نثاطا
البهائم وسرعة دورانها فأين المناسبة بينه وبين الخلخال وأيضاً جعله الخلخال مشابه	الهام وسرمة دورانها فٔن لمناسبة بينه وبينلطخال وأضاً جفله لخال مثابه
للخشب هذا شيء بعيد الشبه خصوصاً إذاكان الخلخال من الفضة فإن الشيء إنما	لمخشب هذا ي،ء بعيد الشبه خصوصاً اذا كان الخال من الفضة فٕن الشي إنما
يشبه به شيئاً مثله (قلنا) فالجواب أن هذا النطع لم ير ولا ملك منذ عمره إلا رقاص	يثبه به شياً مثله اقلا فالجواب أن هذا النفطع لم ير ولا ملك منذ عمرو إلا رفاص
طاحونه هذا فظن بسوء طبعه وعدم ذوقه أن سماع هذا الرقاص لم يكن في الدنيا	طاحوه هذا فظن بسو طبعه وعدم ذوقه أن اع هذا الرةص لم يكل في لدنيا
2،8،5	85
أحسن منه سماعاً فشبه سماع خلخال محبوبته به وأيضاًلم يكن من الفضة وانماكان	أحسن منه عمااً فشبه ماع حخال محبوته به وأيصضالم يكن من الفضة وٕنا كان
من جنس النحاس أو الحديد فكانت محبوبته إذا مشت يقارب حسه في السماع حس	من جض الاس أ لخديد فكانت حجبوتهاذامشت يقارب حنه ف اع ح
هذا الرقاص وإلا لوكان طحانًا لطيفًا لم يتكلم بهذا التشبيه الكثيف	هذا الرقاص والا لوكان حاً لطليفا لم يتكم بهذا التشبيه الكيف
وألطف ما سمعته في محبوب طحان هذين البيتين [بسيط]	والطلف ما ممعته في مبوب كحان هذين اليتين بسيطا
4،8،5	بي: يره.
يب  بره .	110
11	خلخال محبوبته وخصوصاً إذا كان خلخالها من النحاس المطلي بالقصدير كما تفعله نساء
خظال محبوه وحصوصا اذاكان خالها من الماس المطان باقصنرك تفعله ناء.	لأرياف أو من الحديد فعلى هذا يكون المشبه به السماع والحس لا نفس الرقاص
الأياف أو من الخديد غل هذا يكون الشبه به الاع ولحن لا نفس الزاص	وسماعه يظهر عند دوران حجر الطاحون فيكون هذا الصوت الذي شبه به صوت
وماعه يظهر عند دوران جرالطا حون فيكون هذا الصوت الذي شبه به صوت	خلخالها ناشئ من بين الحجر والرقاص ولهذا عرفوه بأنه الهواء المنضغط بين قالع ومقلوع
خالها اشن من بينجر والةاص ولهذا عرفوه باله الهواء لمنضغط ين قاع ومقاوع	أو قارع ومقروع فاتضح المعنى واندفه الاعتراض عن الناظم وإلا لوكان المشبه به
أ قاي ومقوع اتضع لمف واندانع الا عةاصض عن الاضم ولا لوكن الشبه به	نفس الرقاص لم يكن هناك فائدة لكلامه إلا على تقدير حذف مضاف أي صوت
نفس القاص لم يكکن هناد فأدة لكامهإلا على تقدير حذف مضاف أي صوت	رقاص طاحوننا الخارج منه ومن الحجر يشبه لصوت خلخالك الخارج من بين الفردتين
رقاص طاحوزالحارج منه ومن اجر يشبه لصوت خال الحارجح من بين الفردين	المجلاد الأول
الجىلر الأ	طحانكم قد زهرلاجمالا  فما يطـاق السلوعنه
متالم قد رزطاجمالا فما يطاق السنـلو عنه	وأضاف الطاحون لنفسه لكونه كان ملازماً لها وقافًا فيها أو يحتمل أنهاكانت ملکه
واضاف الطاحون لفسه لكونه كان ملازماًلها وافيهأوحتل أيماكانت مكه	7،8،5
85 ا	وهذا من باب بناء الأمير الجدار
وهذا من باب بناء الأمير الجمدار	ثم ماكفي هذا القائل الخبيث الطبع الرثيث الوضع الذي لا يعرف الحب ولا درى
ثم ماكق هذا القال الخبيث الطبع الريث الوضع الذي ل يمرف الحب ولا دى	8،8،5
88	وعشقه يشبه الخراء ما ذكره من النظم الركيك والمعنى الدكيك حتى خيل له أن الرحي
وعشقه يشبه الخراء ما ذكره من النظم الكاك والمعن الكك حق خيل له أن ارزجن	تخاطبه بالمقال وأنها تستفهمه عن شرح الحال فأخبر عنها وقال
تضاطبه بلمفقال وانها نستفهمه عن شرح الحال فأخبر عنها وقال	(ورحينا في الزريبه قالت ٱشحالك) يشعرهذا الكلام بأن الرحي خاطبته وأنها سألت
اوزحينا فی اليب ةلت أتافق يثعرهذا الكام بأن الرحي خاطبته ؤنها سأت	9،8،5
4285	عن حاله وقالت له ما حالك اليوم يا مسكين وقد وصلت إلى العظم السكين وماحكم
عن حاله وقالت له ماحالك اليوم يا مسكين وقد وصلت الى الضم السكين وما حكم	ودق2 خصرا فليت شعري بكم يباع الدقيق منه
وذق خضا فيت شمري كم يبـاع الدقيق مـنه	صبرك على فراق محبوبتك ومقاساتك التعب والمشقة من أجلها هذا إذا جعلنا
صبرد على فاق حجبوتك ومقاساتك التعب ولشثقة من أجلها هذا إذا جعلا	خطاب الرحي له وأما إذاكان الخطاب لمحبوبته فإنه من باب سلام الرحي عليها
خطاب الجي له وأماذاكان الخطاب لحبوبعه فانه من باب سلام الرحين عليها	واستفهامها منها ما هي فيه في هذا الوقت فإن كانت اللام التي قبل حرف الروي
واستفهامها منها ما ي فيه في هذا الوقت فإن كانت الام التي قبل حرف الروي	منصوبة كان الخطاب له وإن كانت مخفوضة يكون لمحبوبته ولعل هذا هوالأ صوب
منصوة كان الخطاب له وٕن كانت محخفوضة يكون لحجبوته ولعل هذا هو الأصوب	وسيأتي أن فتح اللام وخفضها لا يضر في الشعر ويفهم من القرينة الدالة على أن
وسيأة أن قع النم وخنضها لا يضز ف الشمر ويفهم من القربهةالدالة على أن	1 بي: طحانكم زها. 2 بي: ورق.
1 ني طحانكم زها ) ني ورق.	111
111	وأحسن ما سمعته في محبوب فلاح قول بعضهم (رمل)
وأحسن ما معته فى محبوب فلاح قول بعضهم ادملا	5،8،5
 8	رب فلاحٍ مليحٍ قال يا أهل الفتوه
مــ فازح مكي قال يأمل المـعوة	كفلي أضعف خصري فأعينوني بقوه
كمل أضف حصضري فكعيـفي بقة	أقول هذا من باب عمى العاشق عن عيوب المحبوب وإلا فالفلاح وإن كان جميلًا
أقل هذا من اب عى الاشق عن عيود احبوب والا فالفلاح وٕن كان جمياً	فإن أفعاله بعدم اللطافة مشهورة وغاية الأمرأن هذا العاشق نظر إلى الردف الثقيا
فإن انضاله بعدم الطافة مشهورة وغاية الأمرأن هذا الاشق نفظر إلى الردف القيل	والخصر النحيل فمدحه فاتضح الجواب * وبان الصواب *
ولخصر3يا ب فيد هاتمح المواب ه وبان الصوابه	المجلد الأول
لجلد الأو	(والرحي) جمع رحًا وهي حجرين صغيرين أحدهما مركب على الآخر الأعلى يدور على
اوالويً مع رح ويي جرن صغيرين الحدهمامركب على الآٔخر الأمى يمود على	له راحةٌ مشتقةٌ من رحـائهم تروحني لمـا أروح إلى أرضي
به سإخة مفتنة مين محايم  تزلحني لمـار ويج الى أمضي	والزريبة مشتقة من زرب البهائم لأنهم دائمًا يزربوا فيها ويجللوا فيها وربما بالوا فيها
والزريبة مشتفقة من ززب البهاثم لأنهم دايما يززبوا فيها ويجطلوا يها وربا بالوا فيها	16،8،5
365ا	أیضًا کما هو معروف بینهم ومصدرها زرب یزرب زربًا
أيضاًكما هومه روف بينهم وصدرها ز رب زرب زربا	والكلاف مشتق من الكلفة أو من الكلف وهو النمش الذي يظهر في وجه الأ مرد
والكاف مشتق من الكفة أومن الكف وهوالنش الذي يظهر ف وجه الأمرد	 
98	أو الجارية بعد بلوغهما ودليله أن هارون الرشيد مر يومًا بجارية تباع فقال والله
أو الجارية بعد بلوفهما ودليمه ان هارون الشيد مرز يوما يجارية تاع فقال والله	لو لاکلف بوجهها وخنس بأنفها لا شتریتها فأنشدت تقول [سريع]
لو لاكف بوجهها وخس بأفها لا شتيتها فانشدت تقول سيها	ما سلم الظبي على حسنه كلا ولا البدر الذي يوصف
مـاسم الضي عـل حنبه كاولا البذن الني يوصفن	الظبي فيه خنسٌ بينٌ والبدر فيه كلفٌ يعرف
الفني فيـه حكس بيز  والبكذض فيه كمن يمنرف	14،8،5
8	فاشتراها هارون الرشيد لفصاحتها وحظيت عنده وإذا كان بمعنى العلاف كما
فا ثتراها هارول الرشيد لفصاحتها وحظليت عنده وذاكان بعن اللافا	تقدم فيكون مشتق من العلف أو بمعنى الثوار فيكون من التيران ومصدره علف
تقذدم فيكون مشتق من العلف أو بمعنى الثوار يكون من اليران ومصدره علف	يعلف علفًا وقوله
يعلف علفاً وقوله	114
11	الأ سفل وفي وسط الا سفل عود من حديد يدور عليه الحجرالثاني يقال له القطب
الأسفل وف وسط الأسفل عود من حديد يدور عليه جرالاي يقال له القظب	(قال ابن دريد) رحمه الله تعالى في مقصورته [رجز]
القال ابن دريدا رحمه الله تقالى يفی مقصورته ارجزا	وإن سمعت برحًا منصوبةٍ للحرب فاعلم أنني قطب الرحا
بلا سمغث برحًا منصوبة لهحرنب فالظم انفي فظب النحا	والرحي بضم الراء واحدتها رحًا كما تقدم وهي مشتقة من الراحة أو من الروحاء محل
والري بضم الا، واحدتها رحاك تقدم وهي مشتقة من الاحة أومن الزوحا، محل	15،8،5
3م3)149	بأرض الحجاز أو من الرواح وقيل من المروحة ومصدرها رحا يرحو رحًا قال الشاعر
بأض الجازأو من الرواح ويل من المزوحة ومصدرها رحا رحو رحا قال الشاعر	[طويل]
الويلا	المجاد الأول
الجلد الأول-	(يا صبي مالك) بنصب اللام والبيتين السابقين بكسر اللام فهذا لا يضر لأ نه ورد في
لاصي مالكابنصب الام واليتين السابقين بكمر الام فهذالا يضز لأةه وردف	يكون الذكر للذكر والأنثى للأنثى فيكون هذا من باب المقابلة ويكون أبلغ فى النظم
يكن الكر الكر والأنى الأنث فكون هذا من اب القابنة ويكون ابمغ ف النظم	(قلنا الجواب الفشروي) أنه يفهم من ذكر الثور ذكر العجلة أو البقرة كما أن ذکر عنتر يفهم
إقلا الجواب الفشروياله يفهم من ذرالور ذكر الجلة أوابقةك أن يكرعنتر يفهم	منه ذكر عبلة فكان الاعتراض على الناظم في غير محله وكانت المقابلة معنوية وهذا
مه ذكرعبلة فكان الاعتراض على الافلم في غير حطله وكانت المقابلة مموية وهذا	من باب قياس فطيس الذي قاس البحرعلى التيس
سن باب ياس فطيس الذي قاس الجرعلى التيس	(فإن قلت) لأي شيء حصر الناظم الرحي في الزريبة مع أنها ليست معدة لذلك
بفٕن قلت ا لا ي شي . حصرالاضم الري في الزريه مع أنها ليست معدة لاذل	21،8،5
9885	إلا نادرًا لأنها معدة لزرب البهائم فيها كما تقدم أنهم يبولوا فيها ويخروا أيضًا حتى
إلا نادرً لا نيها معدة لزرب البهام فيهاكما تقدذم أنهم يبولوا فيها وخروا أيصضا حق	يغرقوها فما الحكمة في ذلك (قلنا نعم) وإن قلنا إنهم يبولوا فيها بيقين فإن البول فيها لا يدوم
يفرقوها فالحكة ف ذلك اقانم وٕن قنإنهم يبولوا فيهايقين فٕن البول يها لا يدوم	وربما كان فيها بعض جوانب سالمة من البول فيجعلوا فيها الرحي لأجل الطحين أو يقال
